Pathway	LeadingCelltype	LeadingScore	PValue	FDR
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	immature B cell	0.7670355633081435	2.662038745347637e-17	2.662038745347637e-17
KEGG_ASTHMA	dendritic cell, human	0.7369197854498846	2.662038745347637e-17	2.662038745347637e-17
KEGG_AUTOIMMUNE_THYROID_DISEASE	immature B cell	0.7344405467867972	2.662038745347637e-17	2.662038745347637e-17
KEGG_ALLOGRAFT_REJECTION	dendritic cell, human	0.7182331135500418	2.662038745347637e-17	2.662038745347637e-17
KEGG_VIRAL_MYOCARDITIS	dendritic cell, human	0.7088615745880319	2.662038745347637e-17	2.662038745347637e-17
KEGG_ECM_RECEPTOR_INTERACTION	megakaryocyte	0.685343522598193	2.662038745347637e-17	2.662038745347637e-17
KEGG_LEISHMANIA_INFECTION	dendritic cell, human	0.6771679778096442	2.662038745347637e-17	2.662038745347637e-17
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	immature B cell	0.6627865172800891	2.662038745347637e-17	2.662038745347637e-17
KEGG_TYPE_I_DIABETES_MELLITUS	dendritic cell, human	0.6554196674542049	2.662038745347637e-17	2.662038745347637e-17
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	megakaryocyte	0.6531113863752609	2.662038745347637e-17	2.662038745347637e-17
KEGG_GRAFT_VERSUS_HOST_DISEASE	dendritic cell, human	0.6261469391396739	2.662038745347637e-17	2.662038745347637e-17
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	CD8-positive, alpha-beta cytotoxic T cell	0.6123180229590667	2.662038745347637e-17	2.662038745347637e-17
KEGG_LYSOSOME	classical monocyte	0.6031718675068201	2.662038745347637e-17	2.662038745347637e-17
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	megakaryocyte	0.6008669483429037	2.662038745347637e-17	2.662038745347637e-17
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	dendritic cell, human	0.5992127586180827	2.662038745347637e-17	2.662038745347637e-17
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	megakaryocyte	0.5991179981589979	2.662038745347637e-17	2.662038745347637e-17
KEGG_FOCAL_ADHESION	megakaryocyte	0.5871384741543705	2.662038745347637e-17	2.662038745347637e-17
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	CD8-positive, alpha-beta cytotoxic T cell	0.5862790430911008	2.662038745347637e-17	2.662038745347637e-17
KEGG_CELL_CYCLE	CD16-positive, CD56-dim natural killer cell, human	0.5597615489262849	2.662038745347637e-17	2.662038745347637e-17
KEGG_DILATED_CARDIOMYOPATHY	megakaryocyte	0.5538863471225093	2.662038745347637e-17	2.662038745347637e-17
